Red,Green,Blue,pH
81.6,105.7,31.8,7
75.1,107.7,28.3,7
79.7,104.4,31.1,7
80.9,107.5,32,7
76,105.8,27.9,7
80.8,103.1,28.5,7
81,103.1,28.9,7
74,100.6,25.9,7
80.3,105.5,33.3,7
77.6,106.3,26.3,7
74.8,103.7,33.4,7
78.2,104.2,33.5,7
79.3,109.9,27.6,7
79.3,107,33.3,7
74.8,101.3,26.3,7
81.8,103,29.7,7
79.6,105.1,30.6,7
78.6,105.3,34.2,7
75.2,102.1,34.6,7
75.6,105.6,26,7
74,110.3,28.2,7
74.5,101.7,34.9,7
79.4,103.1,35,7
78.4,109.9,31,7
78.9,109.3,25.8,7
74.1,101,28.8,7
73.7,105.2,32.3,7
77.9,107.6,26.1,7
73.2,103.7,26.7,7
77.1,110.2,27.9,7
79.5,109.2,28.1,7
79.7,108,33.5,7
43.6,87.5,22.8,7.2
50.9,90.8,25.9,7.2
47.6,85.9,27.5,7.2
43.8,86,27.9,7.2
52.3,92.9,28.5,7.2
45.5,90.2,24.4,7.2
44.2,86.6,21.8,7.2
46.1,90.2,24,7.2
50.2,92.7,24.7,7.2
44.4,92.8,21.9,7.2
47,83.5,22,7.2
51,88.2,23.6,7.2
44.4,83.3,23.8,7.2
51.1,84.3,27.1,7.2
44.8,83.8,30,7.2
46,89.5,28.3,7.2
51.2,92.1,23,7.2
51.9,84.1,26.6,7.2
46.6,90.5,29.1,7.2
46.3,92.4,21.2,7.2
49.7,91.3,20.9,7.2
50.7,91.4,28.4,7.2
43.3,89.1,23.1,7.2
46.4,91.3,29.8,7.2
48.1,84.4,24.8,7.2
52.6,85.7,26,7.2
43.9,89.7,29.8,7.2
47.2,90,23.5,7.2
44.6,85.1,20.4,7.2
47.4,87,20.8,7.2
43.7,92.4,21.2,7.2
50.6,83.8,26.9,7.2
43.9,83.6,26,7.2
43.8,93,24.7,7.2
46.1,88,25,7.2
52.8,83,27.7,7.2
49.6,92.1,24,7.2
50.6,92,26.9,7.2
43.7,85.4,28.9,7.2
46.1,85.1,25.8,7.2
49.6,73.4,15.3,7.4
52.7,77.1,14.3,7.4
53,76.6,23.3,7.4
48.9,74.2,14.3,7.4
51.5,78.9,22.5,7.4
56,73.3,18.6,7.4
55.7,82,15.4,7.4
49.2,78.9,17.1,7.4
50.8,78.7,21.4,7.4
53,74.3,20.4,7.4
49.2,73.2,20.1,7.4
53.4,73.5,16.9,7.4
55.9,75.6,15.5,7.4
48.3,80.2,16.9,7.4
48.1,75.1,14.8,7.4
56.2,73.9,20.7,7.4
52.5,77.5,21.9,7.4
51.7,78.8,14.7,7.4
56.6,72.1,15.5,7.4
53.6,80.8,19.3,7.4
52,79.7,17.8,7.4
52.2,72.4,18.8,7.4
53.5,73.4,15.3,7.4
56.1,80.3,19.2,7.4
56.8,80.4,21.9,7.4
52.8,78.1,24,7.4
54,80.4,16.9,7.4
47,80.6,20.7,7.4
53.1,75.8,20.3,7.4
50.4,77.4,14.2,7.4
54.8,79,21.5,7.4
51.4,78.6,23.9,7.4
54.7,76.3,16.7,7.4
52.3,81.4,22.4,7.4
54.3,77.6,18.5,7.4
54.8,76.8,18.6,7.4
50.8,73.9,21.3,7.4
48.9,78.5,20.7,7.4
51.1,78.7,19.6,7.4
54,73.2,23.5,7.4
0.8,72.7,62.3,7.6
-2.4,73.1,62.7,7.6
-4.1,70.1,56.2,7.6
-2.6,73.5,53.2,7.6
-4.2,68.3,56.4,7.6
-3.4,67.5,60.9,7.6
-2.2,69.4,54.9,7.6
-3.7,65.3,53.6,7.6
2.5,72.4,56.6,7.6
3.1,66,55.1,7.6
3.6,72.8,58.2,7.6
3.8,73.7,60.8,7.6
-2.1,73,55.2,7.6
0.1,69.5,56.5,7.6
-1.1,68.5,53.3,7.6
1.3,73.9,54.8,7.6
1.2,65,54.8,7.6
4.6,70.4,55.1,7.6
0.1,65,59.6,7.6
3.2,68.5,58.4,7.6
3.7,71.5,61.5,7.6
3,69,57,7.6
-2.8,67.9,57.8,7.6
-4.2,72,57.4,7.6
-4.3,67,58,7.6
-1.8,64.3,58.7,7.6
-2.9,69.6,63,7.6
3.9,69.1,58.2,7.6
-3.3,73.3,55.9,7.6
0,67.2,54,7.6
-2.1,65.5,56.3,7.6
2.2,67,62.4,7.6
3,64.6,58.3,7.6
3.4,68.7,57.2,7.6
4.9,71.2,61,7.6
3.9,72.1,58.4,7.6
1.2,66.5,62.9,7.6
1.1,67.8,54.3,7.6
4.8,68.6,56,7.6
1.9,66.6,55.6,7.6
13.8,35.8,50.5,8
16.2,33.3,48.1,8
11.1,31.8,49.3,8
19.2,33.8,45.5,8
13.5,33,52.6,8
19.4,36.1,51.5,8
19.6,29.6,44.5,8
17.5,31.5,52.7,8
17.9,30.1,48.5,8
12.1,34.9,48.7,8
19.2,34.8,51,8
13.2,35.8,45.6,8
10.8,37.2,50,8
12.9,36.5,51.8,8
16.2,33.1,47.2,8
18,37.8,46.2,8
10.1,38.6,45,8
13.3,34.8,52,8
19.3,34.4,46.3,8
14.7,34.8,51.7,8
13.8,29.6,45.4,8
18.9,33.8,48.6,8
17.8,32.5,49.8,8
10.5,37.9,46.2,8
17.2,38.7,50.2,8
19.3,34.7,47.2,8
18.1,31.3,47,8
12.7,29.4,45.2,8
15.3,35.7,48.7,8
17.3,38.4,52.7,8
14.4,32.9,53.6,8
14.2,30.4,49.2,8
10.4,36.2,50.2,8
12.3,36.7,52.2,8
15.1,38.4,53.4,8
18.1,32.9,45.6,8
14.7,33.4,45.8,8
14.6,35.7,45.3,8
17.7,31.3,49.9,8
11.2,37.9,44.2,8
